oaaclassifier
oaaclassifier: loading data...
oaaclassifier: processing labels...
    converting training labels...
oaaclassifier: training perceptrons (9)...
    percep. 2, itr 10600, error 204.2772503, diff 0.001983
    percep. 2, itr 10700, error 204.0801667, diff 0.001959
    percep. 2, itr 10800, error 203.8853755, diff 0.001937
    percep. 2, itr 10900, error 203.6928316, diff 0.001914
    percep. 2, itr 11000, error 203.5024911, diff 0.001893
    percep. 2, itr 11100, error 203.3143116, diff 0.001871
    percep. 2, itr 11200, error 203.1282515, diff 0.001850
    percep. 2, itr 11300, error 202.9442704, diff 0.001830
    percep. 2, itr 11400, error 202.7623291, diff 0.001809
    percep. 2, itr 11500, error 202.5823895, diff 0.001790
    percep. 2, itr 11600, error 202.4044142, diff 0.001770
    percep. 2, itr 11700, error 202.2283671, diff 0.001751
    percep. 2, itr 11800, error 202.0542129, diff 0.001732
    percep. 2, itr 11900, error 201.8819171, diff 0.001714
    percep. 2, itr 12000, error 201.7114463, diff 0.001696
    percep. 2, itr 12100, error 201.5427678, diff 0.001678
    percep. 2, itr 12200, error 201.3758497, diff 0.001661
    percep. 2, itr 12300, error 201.2106611, diff 0.001643
    percep. 2, itr 12400, error 201.0471715, diff 0.001627
    percep. 2, itr 12500, error 200.8853515, diff 0.001610
    percep. 2, itr 12600, error 200.7251722, diff 0.001594
    percep. 2, itr 12700, error 200.5666056, diff 0.001578
    percep. 2, itr 12800, error 200.4096242, diff 0.001562
    percep. 2, itr 12900, error 200.2542011, diff 0.001547
    percep. 2, itr 13000, error 200.1003103, diff 0.001531
    percep. 2, itr 13100, error 199.9479261, diff 0.001516
    percep. 2, itr 13200, error 199.7970237, diff 0.001502
    percep. 2, itr 13300, error 199.6475787, diff 0.001487
    percep. 2, itr 13400, error 199.4995672, diff 0.001473
    percep. 2, itr 13500, error 199.3529660, diff 0.001459
    percep. 2, itr 13600, error 199.2077523, diff 0.001445
    percep. 2, itr 13700, error 199.0639039, diff 0.001432
    percep. 2, itr 13800, error 198.9213992, diff 0.001418
    percep. 2, itr 13900, error 198.7802168, diff 0.001405
    percep. 2, itr 14000, error 198.6403360, diff 0.001392
    percep. 2, itr 14100, error 198.5017364, diff 0.001380
    percep. 2, itr 14200, error 198.3643983, diff 0.001367
    percep. 2, itr 14300, error 198.2283020, diff 0.001355
    percep. 2, itr 14400, error 198.0934287, diff 0.001343
    percep. 2, itr 14500, error 197.9597597, diff 0.001331
    percep. 2, itr 14600, error 197.8272768, diff 0.001319
    percep. 2, itr 14700, error 197.6959621, diff 0.001307
    percep. 2, itr 14800, error 197.5657981, diff 0.001296
    percep. 2, itr 14900, error 197.4367679, diff 0.001285
    percep. 2, itr 15000, error 197.3088546, diff 0.001274
    percep. 2, itr 15100, error 197.1820418, diff 0.001263
    percep. 2, itr 15200, error 197.0563135, diff 0.001252
    percep. 2, itr 15300, error 196.9316539, diff 0.001241
    percep. 2, itr 15400, error 196.8080477, diff 0.001231
    percep. 2, itr 15500, error 196.6854797, diff 0.001221
    percep. 2, itr 15600, error 196.5639351, diff 0.001210
    percep. 2, itr 15700, error 196.4433994, diff 0.001200
    percep. 2, itr 15800, error 196.3238583, diff 0.001191
    percep. 2, itr 15900, error 196.2052981, diff 0.001181
    percep. 2, itr 16000, error 196.0877049, diff 0.001171
    percep. 2, itr 16100, error 195.9710653, diff 0.001162
    percep. 2, itr 16200, error 195.8553663, diff 0.001152
    percep. 2, itr 16300, error 195.7405950, diff 0.001143
    percep. 2, itr 16400, error 195.6267386, diff 0.001134
    percep. 2, itr 16500, error 195.5137848, diff 0.001125
    percep. 2, itr 16600, error 195.4017214, diff 0.001116
    percep. 2, itr 16700, error 195.2905365, diff 0.001108
    percep. 2, itr 16800, error 195.1802184, diff 0.001099
